field_1;id_in;x_in;y_in;id_anf;x_anf;y_anf;id_ant;x_ant;y_ant;name_anf_in;oneway_anf_in;lanes_anf_in;highway_anf_in;maxspeed_anf_in;grade_anf_in;name_in_ant;oneway_in_ant;lanes_in_ant;highway_in_ant;maxspeed_in_ant;grade_in_ant;DWV_mean;angle;movement;sas;tag;tad_fr;tad_vim;bc_rouge;preselection;Comment;Signalized_inter
"0";"8318292421";"317451.8408";"5157167.613";"3287579543";"317435.4563";"5157685.362";"575140169";"317506.1166";"5156990.836";Route de Romanel;False;"2";secondary;"80.0";"-0.0305";Route de Romanel;False;"2";secondary;"80.0";"-0.0343";"0.0";"195.255";gauche;;;;;;;;
"1";"8318292421";"317451.8408";"5157167.613";"575140169";"317506.1166";"5156990.836";"3287579543";"317435.4563";"5157685.362";Route de Romanel;False;"2";secondary;"80.0";"0.0343";Route de Romanel;False;"2";secondary;"80.0";"0.0305";"0.0";"164.745";droite;;;;;;;;
"2";"5325765155";"317894.3624";"5153113.502";"3802191742";"317897.7039";"5153110.989";"5325765152";"317890.8104";"5153116.167";Avenue d'Ouchy;False;"1";secondary;"50.0";"0.0115";Avenue d'Ouchy;False;"1";secondary;"50.0";"0.0018";"7332.0";"180.065";tout_droit;;;;;;;;
"3";"5325765155";"317894.3624";"5153113.502";"5325765152";"317890.8104";"5153116.167";"3802191742";"317897.7039";"5153110.989";Avenue d'Ouchy;False;"1";secondary;"50.0";"-0.0018";Avenue d'Ouchy;False;"1";secondary;"50.0";"-0.0115";"7332.0";"179.935";tout_droit;;;;;;;;
"4";"5340591749";"318779.2366";"5154629.863";"5340591748";"318776.2049";"5154626.806";"3476363723";"318786.1077";"5154636.797";Rue Caroline;False;"4";secondary;"50.0";"0.0436";Rue Caroline;False;"4";secondary;"50.0";"0.045";"8164.0";"180.023";tout_droit;;;;;;;;
"5";"5340591749";"318779.2366";"5154629.863";"3476363723";"318786.1077";"5154636.797";"5340591748";"318776.2049";"5154626.806";Rue Caroline;False;"4";secondary;"50.0";"-0.045";Rue Caroline;False;"4";secondary;"50.0";"-0.0436";"8164.0";"179.977";tout_droit;;;;;;;;
"6";"3871143341";"318030.4378";"5154970.729";"1446383295";"318028.3399";"5154975.763";"8832720780";"318011.794";"5154950.126";Rue du Maupas;False;"1";residential;"50.0";"-0.0515";"['Place Chauderon', 'Rue du Maupas']";False;"1";residential;"50.0";"-0.0817";"761.5";"115.234";droite;;;;;;;;
"7";"3871143341";"318030.4378";"5154970.729";"8832720780";"318011.794";"5154950.126";"1446383295";"318028.3399";"5154975.763";"['Place Chauderon', 'Rue du Maupas']";False;"1";residential;"50.0";"0.0817";Rue du Maupas;False;"1";residential;"50.0";"0.0515";"761.5";"244.766";gauche;;;;;;;;
"8";"3301699566";"317298.2762";"5156743.921";"1321789139";"317297.6566";"5156754.149";"3404663233";"317298.363";"5156731.04";Avenue du Grey;False;"2";tertiary;"50.0";"-0.0158";Avenue du Grey;False;"2";tertiary;"50.0";"0.0049";"4226.0";"176.919";tout_droit;;;;;;;;
"9";"3301699566";"317298.2762";"5156743.921";"3404663233";"317298.363";"5156731.04";"1321789139";"317297.6566";"5156754.149";Avenue du Grey;False;"2";tertiary;"50.0";"-0.0049";Avenue du Grey;False;"2";tertiary;"50.0";"0.0158";"4226.0";"183.081";tout_droit;;;;;;;;
"10";"6084864621";"318540.9371";"5155140.292";"764671238";"318529.2813";"5155134.035";"8168160539";"318550.7457";"5155145.358";Rue du Tunnel;False;"3";tertiary;"50.0";"0.0247";Rue du Tunnel;False;"3";tertiary;"50.0";"0.0315";"2024.0";"179.088";tout_droit;;;;;;;;
"11";"6084864621";"318540.9371";"5155140.292";"8168160539";"318550.7457";"5155145.358";"764671238";"318529.2813";"5155134.035";Rue du Tunnel;False;"3";tertiary;"50.0";"-0.0315";Rue du Tunnel;False;"3";tertiary;"50.0";"-0.0247";"2024.0";"180.912";tout_droit;;;;;;;;
"12";"626590121";"319687.0703";"5156680.305";"626590123";"319689.7656";"5156677.79";"626590120";"319684.9672";"5156683.126";Chemin Isabelle-de-Montolieu;False;"1";residential;"30.0";"0.0348";Chemin Isabelle-de-Montolieu;False;"1";residential;"30.0";"0.0439";"2174.0";"169.723";tout_droit;;;;;;;;
"13";"626590121";"319687.0703";"5156680.305";"626590120";"319684.9672";"5156683.126";"626590123";"319689.7656";"5156677.79";Chemin Isabelle-de-Montolieu;False;"1";residential;"30.0";"-0.0439";Chemin Isabelle-de-Montolieu;False;"1";residential;"30.0";"-0.0348";"2174.0";"190.277";tout_droit;;;;;;;;
"14";"4212883639";"320141.7099";"5154869.386";"617682323";"320160.7014";"5154853.119";"617981146";"320134.616";"5154875.813";Avenue de Chailly;False;"2";tertiary;"50.0";"0.0024";Avenue de Chailly;False;"2";tertiary;"50.0";"-0.0075";"2635.0";"178.405";tout_droit;;;;;;;;
"15";"4212883639";"320141.7099";"5154869.386";"617981146";"320134.616";"5154875.813";"617682323";"320160.7014";"5154853.119";Avenue de Chailly;False;"2";tertiary;"50.0";"0.0075";Avenue de Chailly;False;"2";tertiary;"50.0";"-0.0024";"2635.0";"181.595";tout_droit;;;;;;;;
"16";"599447476";"319460.1998";"5156872.862";"630495661";"319514.4371";"5156757.33";"341343243";"319399.5372";"5157002.889";;False;"1";service;"30.0";"-0.0089";;False;"1";service;"30.0";"-0.0005";"0.0";"179.863";tout_droit;;;;;;;;
"17";"599447476";"319460.1998";"5156872.862";"341343243";"319399.5372";"5157002.889";"630495661";"319514.4371";"5156757.33";;False;"1";service;"30.0";"0.0005";;False;"1";service;"30.0";"0.0089";"0.0";"180.137";tout_droit;;;;;;;;
"18";"5527674481";"316977.9699";"5155683.815";"5340503935";"316966.133";"5155696.974";"583529286";"316980.4588";"5155680.581";Route de Prilly;False;"3";primary;"50.0";"0.0326";Route de Prilly;False;"3";primary;"50.0";"0.0278";"3167.0";"175.61";tout_droit;;;;;;;;
"19";"5527674481";"316977.9699";"5155683.815";"583529286";"316980.4588";"5155680.581";"5340503935";"316966.133";"5155696.974";Route de Prilly;False;"3";primary;"50.0";"-0.0278";Route de Prilly;False;"3";primary;"50.0";"-0.0326";"3167.0";"184.39";tout_droit;;;;;;;;
"20";"582912280";"316919.767";"5155752.616";"4395358423";"316950.9821";"5155713.747";"3029565012";"316896.4754";"5155777.598";Route de Prilly;False;"3";primary;"50.0";"-0.0273";Route de Prilly;False;"3";primary;"50.0";"-0.0269";"3167.0";"184.227";tout_droit;;;;;;;;
"21";"582912280";"316919.767";"5155752.616";"3029565012";"316896.4754";"5155777.598";"4395358423";"316950.9821";"5155713.747";Route de Prilly;False;"3";primary;"50.0";"0.0269";Route de Prilly;False;"3";primary;"50.0";"0.0273";"3167.0";"175.773";tout_droit;;;;;;;;
"22";"582627612";"318474.3791";"5156441.57";"9552516058";"318513.0493";"5156449.184";"582627609";"318467.9136";"5156439.662";;False;"1";service;"30.0";"-0.011";;False;"1";service;"30.0";"0.0057";"109.0";"185.303";tout_droit;;;;;;;;
"23";"582627612";"318474.3791";"5156441.57";"582627609";"318467.9136";"5156439.662";"9552516058";"318513.0493";"5156449.184";;False;"1";service;"30.0";"-0.0057";;False;"1";service;"30.0";"0.011";"109.0";"174.697";tout_droit;;;;;;;;
"24";"580046854";"319748.7275";"5155062.484";"3878914693";"319751.7013";"5155073.928";"616222761";"319747.9561";"5155058.748";Avenue de BAAthusy;False;"2";tertiary;"50.0";"0.0047";Avenue de BAAthusy;False;"2";tertiary;"50.0";"0.0082";"5499.0";"182.9";tout_droit;;;;;;;;
"25";"580046854";"319748.7275";"5155062.484";"616222761";"319747.9561";"5155058.748";"3878914693";"319751.7013";"5155073.928";Avenue de BAAthusy;False;"2";tertiary;"50.0";"-0.0082";Avenue de BAAthusy;False;"2";tertiary;"50.0";"-0.0047";"5499.0";"177.1";tout_droit;;;;;;;;
"26";"574495022";"316879.331";"5154292.468";"280588";"316883.4186";"5154280.389";"282645307";"316826.7824";"5154315.922";Chemin de Contigny;False;"1";residential;"50.0";"0.0201";Chemin de Contigny;False;"1";residential;"30.0";"-0.0117";"1345.0";"227.251";gauche;;;;;;;;
"27";"574495022";"316879.331";"5154292.468";"282645307";"316826.7824";"5154315.922";"280588";"316883.4186";"5154280.389";Chemin de Contigny;False;"1";residential;"30.0";"0.0117";Chemin de Contigny;False;"1";residential;"50.0";"-0.0201";"1345.0";"132.749";droite;;;;;;;;
"28";"567940496";"315351.6155";"5155069.181";"704396255";"315335.47";"5155061.332";"312462415";"315364.6196";"5155074.211";Avenue du Chablais;True;"2";primary;"60.0";"0.0322";Avenue du Chablais;True;"2";primary;"60.0";"0.038";"14567.0";"175.22";tout_droit;;;;;;;;
"29";"567940496";"315351.6155";"5155069.181";"9761050968";"315363.5197";"5155071.876";"312462415";"315364.6196";"5155074.211";;False;"1";cycleway;;"-0.0319";Avenue du Chablais;True;"2";primary;"60.0";"0.038";"7283.5";"8.39";droite;;;;;;;;
"30";"567940496";"315351.6155";"5155069.181";"704396255";"315335.47";"5155061.332";"9761050968";"315363.5197";"5155071.876";Avenue du Chablais;True;"2";primary;"60.0";"0.0322";;False;"1";cycleway;;"0.0319";"7283.5";"166.83";tout_droit;;;;;;;;
"31";"567818756";"317523.0372";"5153575.214";"567871335";"317481.1841";"5153511.572";"2258600706";"317548.5123";"5153598.101";Chemin de Bellerive;False;"1";residential;"30.0";"0.1";Chemin de Bellerive;False;"1";residential;"30.0";"0.0995";"8456.9";"165.267";tout_droit;;;;;;;;
"32";"567818756";"317523.0372";"5153575.214";"2258600706";"317548.5123";"5153598.101";"567871335";"317481.1841";"5153511.572";Chemin de Bellerive;False;"1";residential;"30.0";"-0.0995";Chemin de Bellerive;False;"1";residential;"30.0";"-0.1";"8456.9";"194.733";tout_droit;;;;;;;;
"33";"567817434";"317479.788";"5153509.579";"567871335";"317481.1841";"5153511.572";"567871329";"317437.1273";"5153459.418";Chemin de Bellerive;False;"1";residential;"30.0";"-0.0882";Chemin de Bellerive;False;"1";residential;"30.0";"-0.0829";"8456.9";"174.631";tout_droit;;;;;;;;
"34";"567817434";"317479.788";"5153509.579";"567871329";"317437.1273";"5153459.418";"567871335";"317481.1841";"5153511.572";Chemin de Bellerive;False;"1";residential;"30.0";"0.0829";Chemin de Bellerive;False;"1";residential;"30.0";"0.0882";"8456.9";"185.369";tout_droit;;;;;;;;
"35";"567497043";"316547.3569";"5154258.478";"567523745";"316388.2436";"5154266.939";"567497041";"316562.0059";"5154258.235";Avenue des Figuiers;False;"2";tertiary;"50.0";"0.0432";Avenue des Figuiers;False;"2";tertiary;"50.0";"0.0523";"8868.0";"182.094";tout_droit;;;;;;;;
"36";"567497043";"316547.3569";"5154258.478";"567497041";"316562.0059";"5154258.235";"567523745";"316388.2436";"5154266.939";Avenue des Figuiers;False;"2";tertiary;"50.0";"-0.0523";Avenue des Figuiers;False;"2";tertiary;"50.0";"-0.0432";"8868.0";"177.906";tout_droit;;;;;;;;
"37";"3578319815";"317948.5708";"5154820.996";"253421603";"317843.2453";"5154867.105";"1577380107";"318004.9823";"5154799.415";Rue de GenA ve;False;"3";primary;"50.0";"0.0062";Rue de GenA ve;False;"3";primary;"50.0";"-0.0032";"4055.0";"182.708";tout_droit;;;;;;;;
"38";"3578319815";"317948.5708";"5154820.996";"1577380107";"318004.9823";"5154799.415";"253421603";"317843.2453";"5154867.105";Rue de GenA ve;False;"3";primary;"50.0";"0.0032";Rue de GenA ve;False;"3";primary;"50.0";"-0.0062";"4055.0";"177.292";tout_droit;;;;;;;;
