;key;u;v;osmid;oneway;lanes;name;highway;maxspeed;length;service;junction;Am_cycl;Am_Direct;Am_cycl_2;Am_Dir_2;DWV_ALLE;DWV_PW;DWV_LI;DWV_LW;DWV_LZ;pour100_GW;grade;HV_DWV;C_GR;B_GW;C_HV_DWV;C_IC_DWV;C_RA_DWV;TC_DWV;PD_DWV;avg_spd;tt_s;TC_noGR;PD_noGR;geometry
0;0;602699351;602699342;47318069;True;1;;service;;8.837;driveway;;Zone pietonne autorisee aux velos;v to u;;;0.0;0.0;0.0;0.0;0.0;;-0.0543;;-0.0123804;0.0;0.0;0.9;;0.8876196;10.816;15;2.12088;0.888;7.847;LINESTRING (318422.27838598774 5155590.523584417, 318422.7505172327 5155581.701404583)
1;1;280798790;280798792;25748538;True;1;;residential;30.0;6.451000000000002;;roundabout;Aucun;v to u;;;3288.905;3073.333333333333;205.95238095238088;7.999999999999998;1.666666666666666;;0.0173;6.56;0.0534916;0.0;0.0;1.1;1.1;1.1534916;7.441174311600002;15;1.548240000000001;1.1;7.096;LINESTRING (318909.323814427 5153679.092577645, 318912.6319217618 5153680.339294504, 318913.7189201228 5153683.053705257)
2;2;280798794;280798788;25748538;True;1;;residential;30.0;12.925;;roundabout;Aucun;v to u;;;375.401;320.000694830583;53.80005500216445;1.600001939722235;0.200000390309962;;0.0384;14.81;0.1511424;0.0;0.2;1.1;1.1;1.4511424;18.75601552;15;3.102;1.3;16.803;LINESTRING (318901.54467453226 5153688.288885589, 318893.06054550916 5153690.600064551, 318888.9105309644 5153690.212627273)
3;3;280798792;280798794;25748538;True;1;;residential;30.0;13.560000000000002;;roundabout;Aucun;v to u;;;12.001;7.001221071070922;5.00009331174353;3.471382652e-06;6.84497988e-07;;0.0393;41.66;0.1560996;0.0;0.2;1.1;1.1;1.4560996;19.744710576000003;15;3.2544;1.3;17.628;LINESTRING (318913.7189201228 5153683.053705257, 318911.7181986977 5153685.215438509, 318906.3635699403 5153687.166093118, 318901.54467453226 5153688.288885589)
4;4;280798788;280798789;25748538;True;1;;residential;30.0;13.676;;roundabout;Aucun;v to u;;;1829.002;1572.0022612313924;248.99990045141132;7.99999881724448;1.000000985629584;;-0.0691;14.11;0.0251524;0.0;0.2;1.1;1.1;1.3251524;18.1227842224;15;3.28224;1.3;17.779;LINESTRING (318888.9105309644 5153690.212627273, 318888.2634076436 5153687.829817982, 318888.52091757534 5153684.374561804, 318891.022993608 5153681.519434437, 318894.048675323 5153678.971159511)
5;5;280798789;280798790;25748538;True;1;;residential;30.0;15.711000000000002;;roundabout;Aucun;u to v;;;3168.048;2943.428571428572;215.0476190476191;8.095238095238098;1.619047619047619;;-0.0125;7.09;-0.02375;0.0;0.0;1.1;1.1;1.1;17.282100000000003;15;3.77064;1.076;16.905;LINESTRING (318894.048675323 5153678.971159511, 318901.98579043266 5153677.110068509, 318909.323814427 5153679.092577645)
6;6;35295112;9284487798;32554157;True;1;Rue du Petit-Chene;pedestrian;;12.479;;;Zone pietonne autorisee aux velos;Both;;;0.0;0.0;0.0;0.0;0.0;;-0.1527;;0.5662116;0.0;0.0;0.95;;1.5162116;101.404;15;2.994959999999999;0.95;11.855;LINESTRING (318149.0530928752 5154319.362897436, 318145.80454871897 5154307.316102218)
7;7;9284487798;3508955198;32554157;True;1;Rue du Petit-Chene;pedestrian;;12.502;;;Zone pietonne autorisee aux velos;Both;;;0.0;0.0;0.0;0.0;0.0;;-0.1358;;0.4117456;0.0;0.0;0.95;;1.3617456;79.7;15;3.00048;0.95;11.877;LINESTRING (318145.80454871897 5154307.316102218, 318142.5476557043 5154295.247316625)
8;8;35295113;561463425;32554157;True;1;Rue du Petit-Chene;pedestrian;;29.495;;;Zone pietonne autorisee aux velos;Both;;;0.0;0.0;0.0;0.0;0.0;;-0.1392;;0.4409856;0.0;0.0;0.95;;1.3909856;197.852;15;7.078799999999999;0.95;28.02;LINESTRING (318181.1500760036 5154348.448332568, 318157.34702063154 5154330.946738461)
9;9;561463425;35295112;32554157;True;1;Rue du Petit-Chene;pedestrian;;14.237;;;Zone pietonne autorisee aux velos;Both;;;0.0;0.0;0.0;0.0;0.0;;-0.1471;;0.5124964;0.0;0.0;0.95;;1.4624964;107.062;15;3.41688;0.95;13.525;LINESTRING (318157.34702063154 5154330.946738461, 318149.0530928752 5154319.362897436)
10;10;256362033;3508955230;32554157;True;1;Rue du Petit-Chene;pedestrian;;10.401;;;Zone pietonne autorisee aux velos;Both;;;0.0;0.0;0.0;0.0;0.0;;-0.0882;;0.0994896;0.0;0.0;0.95;;1.0494896;28.322;15;2.49624;0.95;9.881;LINESTRING (318210.3812496051 5154368.011245147, 318201.5770064921 5154362.437005846)
11;11;253051736;563240580;554615631;True;2;Avenue de Provence;secondary;50.0;16.266;;;Piste cyclable;u to v;;;0.0;0.0;0.0;0.0;0.0;1.558;0.019;;0.06004;0.008;0.0;0.75;;0.80204;19.926;15;3.903839999999999;0.742;12.069;LINESTRING (316214.1128258678 5155070.319901498, 316197.8082521745 5155070.837287563)
