;osmid;y;x;street_cou;lon;lat;elevation;highway;geometry
0;280569.0;5154927.659292949;316644.41885464045;3;6.6093972;46.5229289;429.5063171386719;;POINT (316644.41885464045 5154927.659292949)
1;280571.0;5154840.415670187;315669.24576306896;3;6.5967288;46.5218781;390.3681335449219;;POINT (315669.24576306896 5154840.415670187)
2;563294500.0;5154481.419414887;315956.3461288619;3;6.6006108;46.5187287;385.735107421875;;POINT (315956.3461288619 5154481.419414887)
3;563294513.0;5154425.873762213;316011.0245202958;3;6.601345;46.5182442;384.3209533691406;;POINT (316011.0245202958 5154425.873762213)
4;563294505.0;5154448.838510275;315985.082181711;3;6.600998;46.5184436;385.1740417480469;;POINT (315985.082181711 5154448.838510275)
5;280576.0;5154376.187074851;316092.8757249403;4;6.6024308;46.5178198;382.9890747070313;;POINT (316092.8757249403 5154376.187074851)
6;563871194.0;5154389.527085176;316098.55537090445;2;6.6024995;46.5179413;383.1452026367188;crossing;POINT (316098.5553709044 5154389.527085176)
7;253045533.0;5154370.794540616;316110.7691856219;3;6.602666;46.5177762;383.21728515625;;POINT (316110.7691856219 5154370.794540615)
8;268432818.0;5154318.7976677865;316234.69336633495;3;6.6043007;46.5173425;383.3350524902344;;POINT (316234.69336633495 5154318.7976677865)
9;567523734.0;5154269.656996458;316341.90771903004;3;6.6057166;46.5169299;384.41357421875;;POINT (316341.90771903004 5154269.656996458)
10;347351905.0;5154271.910111449;316327.02794828115;3;6.6055219;46.5169461;384.12103271484375;;POINT (316327.02794828115 5154271.910111449)
11;280586.0;5154247.680345057;316752.96358449507;3;6.6110793;46.5168443;402.5552673339844;;POINT (316752.96358449507 5154247.6803450575)
12;1907188387.0;5154246.774136878;316752.40640571096;3;6.6110724;46.516836;402.5599670410156;;POINT (316752.40640571096 5154246.774136878)
13;280587.0;5154270.301652245;316828.6495277915;2;6.6120562;46.5170683;408.2876892089844;;POINT (316828.6495277914 5154270.301652245)
14;574495012.0;5154275.508037349;316848.4459965386;2;6.612312;46.5171205;410.0321044921875;;POINT (316848.4459965386 5154275.508037349)
15;574442314.0;5154261.880506344;316797.48519995844;3;6.6116536;46.5169841;405.537841796875;;POINT (316797.48519995844 5154261.880506344)
16;280588.0;5154280.388860938;316883.418566343;3;6.6127656;46.5171739;412.8460388183594;;POINT (316883.418566343 5154280.388860939)
17;597641350.0;5154280.519028296;316892.35137219843;3;6.6128819;46.5171775;413.2704772949219;;POINT (316892.35137219843 5154280.519028295)
18;574495015.0;5154279.204873373;316872.926068235;2;6.6126294;46.5171604;412.0410461425781;crossing;POINT (316872.9260682351 5154279.204873373)
19;280589.0;5154276.073357884;316924.247215974;2;6.6132991;46.5171462;414.1175231933594;;POINT (316924.24721597397 5154276.073357884)
20;574495036.0;5154270.917937648;316939.8991787681;2;6.613505;46.5171041;414.5258483886719;;POINT (316939.8991787681 5154270.917937648)
21;282645329.0;5154279.378866279;316907.6180330417;2;6.6130812;46.5171714;413.7576904296875;;POINT (316907.6180330417 5154279.378866279)
22;597641485.0;5154249.040216547;317035.61293372815;3;6.6147603;46.5169334;416.7528381347656;;POINT (317035.61293372815 5154249.040216547)
23;280591.0;5154240.071697927;317118.5810576934;3;6.6158445;46.5168753;418.0124206542969;;POINT (317118.5810576934 5154240.071697927)
24;282645399.0;5154240.58626807;317111.8557839652;3;6.6157567;46.5168781;417.947021484375;;POINT (317111.8557839652 5154240.58626807)
25;280592.0;5154252.965461088;317002.1503359224;3;6.6143229;46.5169596;415.9974060058594;;POINT (317002.1503359224 5154252.965461088)
26;593815168.0;5154282.434093167;317160.14421365364;3;6.6163692;46.5172675;422.7814025878906;;POINT (317160.14421365364 5154282.434093167)
27;280595.0;5154355.098460597;317211.7808538457;4;6.6170132;46.5179349;430.265625;;POINT (317211.7808538457 5154355.098460597)
28;574634679.0;5154371.6780876815;317193.80991319835;3;6.6167726;46.5180791;431.60394287109375;;POINT (317193.80991319835 5154371.6780876815)
29;280597.0;5154425.503238832;317156.31987882144;3;6.6162631;46.5185529;438.23687744140636;;POINT (317156.31987882144 5154425.503238832)
30;360044657.0;5154378.393539273;317276.0137661613;3;6.6178407;46.5181618;437.049072265625;;POINT (317276.0137661613 5154378.393539272)
31;574618873.0;5154420.609436551;317156.7017895422;3;6.61627;46.518509;437.6578369140625;;POINT (317156.7017895422 5154420.60943655)
32;280601.0;5154473.2115706345;317299.3047911329;3;6.6181068;46.5190207;452.69525146484375;crossing;POINT (317299.3047911329 5154473.2115706345)
33;276872320.0;5154733.227223484;317014.74952809024;4;6.6142979;46.5212814;443.42285156249994;;POINT (317014.74952809024 5154733.227223484)
34;280606.0;5154713.025919668;317063.4781278356;4;6.6149406;46.521113;446.5835266113281;;POINT (317063.4781278356 5154713.025919668)
35;253092276.0;5154720.744411708;317077.0845108945;3;6.6151148;46.5211861;447.3962707519531;;POINT (317077.0845108945 5154720.744411708)
36;593844384.0;5154708.638255997;317077.6552285722;3;6.615127;46.5210774;447.5016479492188;;POINT (317077.6552285722 5154708.638255996)
37;280607.0;5154689.044293357;317408.72771671717;3;6.6194473;46.5209911;468.9278869628906;;POINT (317408.72771671717 5154689.044293356)
38;253092249.0;5154688.074700384;317261.75530797715;3;6.6175332;46.5209425;459.8848571777344;;POINT (317261.75530797715 5154688.0747003835)
39;563021122.0;5154556.422188292;317667.74190938147;3;6.6228733;46.5198688;475.2317504882813;;POINT (317667.74190938147 5154556.422188292)
40;83312549.0;5154575.032574329;317644.3349395758;3;6.6225611;46.5200298;477.2508850097656;traffic_signals;POINT (317644.3349395758 5154575.032574329)
41;280612.0;5154499.410862882;317755.01729178627;3;6.6240325;46.5193798;468.7404174804688;;POINT (317755.01729178627 5154499.410862882)
42;253303515.0;5154497.448782373;317757.76035128155;3;6.624069;46.5193629;468.4703674316406;;POINT (317757.76035128155 5154497.448782372)
43;280614.0;5154605.922546605;317643.3923615522;4;6.6225367;46.5203073;479.2454223632813;;POINT (317643.3923615522 5154605.922546605)
44;595249401.0;5154622.33839715;317643.3648845057;3;6.6225299;46.5204549;480.3101196289063;;POINT (317643.3648845057 5154622.33839715)
45;280615.0;5154702.083693868;317693.01822437486;4;6.6231454;46.5211854;486.3399658203125;;POINT (317693.01822437486 5154702.0836938685)
46;280616.0;5154702.669289522;317803.58200922713;3;6.6245854;46.5212206;488.0481872558594;;POINT (317803.58200922713 5154702.669289522)
47;594739679.0;5154704.580712027;317535.9641139215;3;6.6210986;46.5211653;477.3049926757813;;POINT (317535.9641139215 5154704.580712027)
48;8558061283.0;5154698.997348175;317500.93524492346;3;6.6206445;46.5211056;474.6949462890625;;POINT (317500.93524492346 5154698.997348174)
49;280628.0;5154537.805257515;317470.68718634045;2;6.6203138;46.519648;465.1637878417969;crossing;POINT (317470.6871863405 5154537.805257515)
50;2630947579.0;5154525.576090658;317433.66807876696;2;6.6198364;46.519528;462.3197326660156;;POINT (317433.66807876696 5154525.576090658)
51;280639.0;5154252.831833761;318236.203703447;3;6.6303968;46.5172927;448.7456359863281;;POINT (318236.203703447 5154252.83183376)
52;570300710.0;5154254.655984703;318232.1203942147;3;6.6303429;46.517308;448.7208251953125;;POINT (318232.12039421464 5154254.6559847025)
53;280644.0;5154493.951113502;318428.1525040363;3;6.6328028;46.5195126;493.7757873535156;;POINT (318428.1525040363 5154493.951113502)
54;280650.0;5154912.556387744;318327.61945343495;3;6.6313296;46.5232495;504.4500122070313;;POINT (318327.61945343495 5154912.556387744)
55;1463796472.0;5154906.549917661;318341.7327907075;2;6.6315158;46.5231993;503.64056396484375;traffic_signals;POINT (318341.7327907075 5154906.549917661)
56;280657.0;5155344.264399171;318019.5236613161;4;6.627147;46.5270481;527.2764892578125;traffic_signals;POINT (318019.5236613161 5155344.264399171)
57;575175464.0;5155337.888760766;318032.57300553273;2;6.6273195;46.5269943;526.6557006835938;crossing;POINT (318032.5730055328 5155337.888760766)
58;280659.0;5155288.349596419;318114.4989262572;4;6.6284062;46.526571;523.7169799804688;;POINT (318114.4989262572 5155288.349596419)
59;598571497.0;5155283.761424601;318120.25622663915;2;6.628483;46.5265313;523.4727783203125;crossing;POINT (318120.25622663915 5155283.761424601)
60;575175466.0;5155313.640887916;318075.2286977536;2;6.6278847;46.5267878;525.0869750976562;;POINT (318075.2286977536 5155313.640887916)
61;280660.0;5155227.688501931;318177.6079492698;3;6.6292521;46.5260426;520.496826171875;;POINT (318177.6079492698 5155227.688501931)
62;8829968920.0;5155232.861285686;318173.11932228267;2;6.6291916;46.5260879;520.720458984375;;POINT (318173.11932228267 5155232.861285685)
63;598565754.0;5155118.272734336;318263.3036166269;3;6.6304113;46.5250819;519.8287353515625;;POINT (318263.3036166269 5155118.272734336)
64;280662.0;5154423.472893182;318617.0749962791;3;6.6352912;46.5189298;492.5841369628906;;POINT (318617.0749962791 5154423.472893182)
65;3404570450.0;5154382.104098576;318685.3133707588;3;6.6361962;46.5185762;488.4955139160156;;POINT (318685.3133707588 5154382.104098576)
66;280664.0;5154295.093429256;318826.41708724573;5;6.6380681;46.5178318;480.4635314941406;traffic_signals;POINT (318826.41708724573 5154295.093429255)
67;564226570.0;5154054.233690864;319222.9220963623;3;6.6433265;46.5157726;487.5885925292969;;POINT (319222.9220963623 5154054.233690864)
68;614834839.0;5154030.425070949;319316.7441911602;3;6.6445578;46.5155837;489.1096496582031;;POINT (319316.7441911602 5154030.425070949)
69;280670.0;5154056.106381365;319425.4940441974;3;6.6459643;46.5158438;491.8065490722656;;POINT (319425.4940441974 5154056.106381365)
70;280671.0;5154063.586545333;319490.1538721176;3;6.6468036;46.5159284;490.0288696289063;;POINT (319490.1538721176 5154063.586545333)
71;269580073.0;5153932.177984479;319796.3332738892;3;6.6508426;46.5148288;472.8714599609375;crossing;POINT (319796.33327388915 5153932.177984479)
72;330904208.0;5153888.334901951;319991.98200943344;3;6.6534079;46.5144869;462.175048828125;crossing;POINT (319991.98200943344 5153888.334901951)
73;563657761.0;5153887.436771008;319998.2509375862;3;6.6534899;46.5144805;461.9798583984375;;POINT (319998.2509375861 5153887.436771008)
74;504113.0;5155040.689171846;315371.9644819227;3;6.5927768;46.5235974;390.693359375;;POINT (315371.9644819227 5155040.689171846)
75;567544854.0;5154209.68629413;316839.80583978514;3;6.6122254;46.5165263;403.8976745605469;;POINT (316839.80583978514 5154209.68629413)
76;304577576.0;5154094.143341326;317105.1360427221;3;6.6157268;46.5155595;408.8113708496093;;POINT (317105.13604272204 5154094.143341326)
77;567547872.0;5154099.729192246;317080.7439902553;4;6.6154069;46.5156031;408.4620666503907;;POINT (317080.7439902553 5154099.729192246)
78;567549214.0;5154091.906163418;317140.1707052534;3;6.616184;46.5155489;409.633056640625;;POINT (317140.1707052534 5154091.906163417)
79;34505932.0;5154355.078529137;316192.11017503653;4;6.6037317;46.5176571;383.652099609375;;POINT (316192.1101750365 5154355.078529137)
80;504964.0;5154349.81983567;316402.78021562553;3;6.6064778;46.5176673;394.9703979492188;;POINT (316402.78021562553 5154349.81983567)
